Nursery Name,Address,Manager,Phone Number,Staff,Children 
Queensbury Academy,Deanstones Lane,Bradford,BD13 2AS,Mrs Colette Macklin,,01756 793787,Academy,Academy sponsor led mainstream,Primary,0,0
Rainbow Primary School,Nelson Street,Bradford,BD5 0HD,Miss Stephanie Ngenda of School,,01756 793159,Maintained School,Community school,Primary,0,0
Reevy Hill Primary School,Bedale Drive,Bradford,BD6 3ST,Mick McKenna,,01756 793314,Maintained School,Voluntary controlled school,Primary,0,0
Riddlesden St Mary's CofE Primary School,Grange Road,Keighley,BD20 5AB,Mrs L Wright,,01756 793609,Maintained School,Community school,Primary,0,0
Russell Hall Primary School,West End,Bradford,BD13 2AW,Mrs Andrea Grist,,01756 792910,Maintained School,Voluntary aided school,Primary,0,0
Ryecroft Primary Academy,Kesteven Close,Bradford,BD4 0LS,Mrs Helen Pearson,,01756 749433,Maintained School,Voluntary controlled school,Primary,0,0
Saltaire Primary School,Albert Road,Shipley,BD18 4NR,Mrs Sally Stoker,,01282 843381,Maintained School,Community school,Primary,0,0
Sandal Primary School,West Lane,Shipley,BD17 5DH,Mrs Louise Dale,,01729 830214,Maintained School,Voluntary aided school,Primary,0,0
Sandy Lane Primary School,Cottingley Road,Bradford,BD15 9JU,Mr John Cooper,,01729 850215,Maintained School,Community school,Primary,0,0
Scholes Village Primary School,Old Popplewell Lane,Cleckheaton,BD19 6DN,Mrs Samantha Marriott,,01729 840377,Maintained School,Voluntary aided school,Primary,0,0
Settle Church of England Voluntary Controlled Primary School,Bond Lane,Settle,BD24 9BW,Mr Richard Wright,,01756 760280,Maintained School,Community school,Primary,0,0
Settle College,Giggleswick,Settle,BD24 0AU,Mr Gareth Whitaker,,01756 752365,Maintained School,Voluntary controlled school,Primary,0,0
Shibden Head Primary Academy,Hainsworth Moor Grove,Bradford,BD13 2ND,Sarah Thornton,,01756 720273,Maintained School,Voluntary aided school,Primary,0,0
Shipley CofE Primary School,Otley Road,Shipley,BD18 2PT,Mrs Angela Smith,,01756 710378,Maintained School,Voluntary aided school,Primary,0,0
Shipley College,Exhibition Road,Saltaire,BD18 3JW,Mr Nav Chohan,,01756 730259,Maintained School,Voluntary controlled school,Primary,0,0
Shirley Manor Primary School,Methuen Oval,Bradford,BD12 8SA,Mrs Heather Lacey,,01756 793426,Maintained School,Voluntary controlled school,Primary,0,0
Silsden Primary School,Elliott Street,Keighley,BD20 0AW,Mr Karl Russell,,01729 822248,Maintained School,Community school,Primary,0,0
Skipton Girls' High School,Gargrave Road,Skipton,BD23 1QL,Mrs Jenn Plews,,01729 860282,Maintained School,Voluntary aided school,Primary,0,0
Skipton Parish Church Church of England Voluntary Controlled Primary School,Brougham Street,Skipton,BD23 2ES,Ms Lucy Peberdy,,01729 840360,Maintained School,Voluntary aided school,Primary,0,0
"Skipton, Greatwood Community Primary School",Pinhaw Road,Skipton,BD23 2SJ,Mrs Jonelle Yeoman,,01729 822019,Maintained School,Voluntary controlled school,Primary,0,0
"Skipton, Ings Community Primary and Nursery School",Broughton Road,Skipton,BD23 1TE,,,01274 722981,Maintained School,Community school,Primary,0,0
"Skipton, Water Street Community Primary School",Elliot Street,Skipton,BD23 1PE,,,01274 722981,Academy,Academy - Converter mainstream,Primary,0,0
South Craven School,Holme Lane,Keighley,BD20 7RL,,,01274 773003,Academy,Academy - Converter mainstream,Primary,0,0
Southfield School,Haycliffe Lane,Bradford,BD5 9ET,Mr Dominic Wall,,01274 665812,Academy,Academy - Converter mainstream,Primary,0,0
Southmere Primary Academy,Ewart Street,Bradford,BD7 3NR,Ms Susan Dawson,,,Academy,Academy - Converter mainstream,Primary,0,0
St Anne's Catholic Primary School,North Street,Keighley,BD21 3AD,,,01274 772154,Academy,Academy sponsor led mainstream,Primary,0,0
St Anthony's Catholic Primary School,Bradford Road,Bradford,BD14 6HW,Mrs Madeleine Bannister,,01274 666472,Special School,Community special school,Primary,0,0
St Anthony's Catholic Primary School,High Busy Lane,Shipley,BD18 1HD,Mrs Elizabeth Snelling,,01274 669100,Academy,Academy - Converter mainstream,Primary,0,0
St Bede's and St Joseph's Catholic College,Highgate,Bradford,BD9 4BQ,Mr Lawrence Bentley,,01274 721751,Academy,Academy sponsor led mainstream,Primary,0,0
St Clare's Catholic Primary School,Fagley Road,Bradford,BD2 3JD,Mrs Carmel Utting,,01274 773977,Maintained School,Voluntary aided school,Primary,0,0
St Columba's Catholic Primary School,Tong Street,Bradford,BD4 9PY,Mrs Catherine Markham,,01274 683128,Academy,Academy sponsor led mainstream,Primary,0,0
St Cuthbert and The First Martyrs' Catholic Primary School,Scotchman Road,Bradford,BD9 5AT,Mr Daniel Copley,,01274 778577,Maintained School,Community school,Primary,0,0
St Francis Catholic Primary School,Myers Lane,Bradford,BD2 4ES,Mr Daniel Copley,,01274 681959,Academy,Academy - Converter mainstream,Primary,0,0
St John the Evangelist Catholic Primary School,Beacon Road,Bradford,BD6 3DQ,Mrs Kathryn Spillane,,01274 681235,Maintained School,Voluntary controlled school,Primary,0,0
St John's CofE Primary School,Dawson Lane,Bradford,BD4 6JF,Mr Andrew Knight,,01274 664661,Maintained School,Community school,Primary,0,0
St Joseph's Catholic Primary School,Crownest Road,Bingley,BD16 4HQ,Mrs Louise Robinson,,01274 664661,Academy,Academy sponsor led mainstream,Primary,0,0
St Joseph's Catholic Primary School,Queen's Road,Keighley,BD21 1AR,,,01274 662363,Maintained School,Community school,Primary,0,0
St Joseph's Catholic Primary School,Park Lane,Bradford,BD5 0RB,Mrs Catherine Markham,,01274 662363,Academy,Academy sponsor led mainstream,Primary,0,0
St Luke's CofE Primary School,Fagley Lane,Bradford,BD2 3NS,Mrs Gemma Zulu,,01274 770312,Maintained School,Community school,Primary,0,0
St Mary's &St Peter's Catholic Primary School,Upper Nidd Street,Bradford,BD3 9ND,Mrs Julie Holland,,01274 778177,Maintained School,Community school,Primary,0,0
St Matthew's Catholic Primary School,Saffron Drive,Bradford,BD15 7NE,Mrs Katy Cox,,01274 681961,Maintained School,Voluntary aided school,Primary,0,0
St Matthew's CofE Primary School and Nursery,Mayo Avenue,Bradford,BD5 8HT,Mrs Kay Remmer,,01274 424350,Academy,Free school - Mainstream,Primary,0,0
St Oswald's Church of England Primary Academy,Cross Lane,Bradford,BD7 3JT,Miss Gillian Wilson,,01274 221400,Academy,Free school - Mainstream,Primary,0,0
St Paul's CofE Primary School,St Paul's Avenue,Bradford,BD6 1ST,Mrs Helen Malt,,01274 415222,Maintained School,Voluntary controlled school,Primary,0,0
St Philip's CofE Primary School,Whitby Terrace,Bradford,BD8 9JL,Miss Michelle Hargreaves,,01274 727970,Maintained School,Voluntary aided school,Primary,0,0
"St Stephen's Catholic Primary School and Nursery, A Voluntary Academy",Gargrave Road,Skipton,BD23 1PJ,,,01274 772208,Maintained School,Community school,Primary,0,0
St Stephen's CofE Primary School,Gaythorne Road,Bradford,BD5 7HU,Reverend Stephen Hanscombe,,01274 731698,Maintained School,Voluntary aided school,Primary,0,0
"St Walburga's Catholic Primary School, A Voluntary Academy",Victoria Park,Shipley,BD18 4RL,Mrs Elizabeth Snelling,,01274 573004,Independent School,Other independent school,Primary,0,0
St William's Catholic Primary School,Young Street,Bradford,BD8 9RG,Miss Fiona Parker,,01274 770270,Maintained School,Community school,Primary,0,0
"St Winefride's Catholic Primary School, A Voluntary Academy",St Paul's Avenue,Bradford,BD6 1SR,Mrs Maureen Cairns,,01274 731693,Maintained School,Voluntary controlled school,Primary,0,0
Stanbury Village School,Main Street,Keighley,BD22 0HA,Mr Graham Swinbourne,,01274 573295,Maintained School,Community school,Primary,0,0
Steeton Primary School,Market Street,Keighley,BD20 6NN,Mr John Cooper,,01274 574544,Academy,Academy - Converter mainstream,Primary,0,0
Stocks Lane Primary School,Stocks Lane,Bradford,BD13 2RH,Mrs Nicky Kilvington,,01274 732068,Maintained School,Community school,Primary,0,0
Sutton in Craven Church of England Voluntary Controlled Primary School,Main Street,Keighley,BD20 7JS,Mrs Katy Herbert,,01274 678016,Maintained School,Community school,Primary,0,0
Sutton-in-Craven Community Primary School,Bridge Road,Keighley,BD20 7ES,Mrs Fiona Beetles,,01274 677705,Academy,Academy - Converter mainstream,Primary,0,0
Swain House Primary School,Radcliffe Avenue,Bradford,BD2 1JL,Mrs Dianne Richardson,,01274 679183,Maintained School,Voluntary aided school,Primary,0,0
Thackley Primary School,Town Lane,Bradford,BD10 8PJ,Mr Trevor Patterson,,01274 678545,Maintained School,Community school,Primary,0,0
The Academy At St. James,Chelwood Drive,Bradford,BD15 7YD,Mr Chris Tolson,,01274 414350,Academy,Academy - Converter mainstream,Primary,0,0
The Boyle and Petyt Primary School,Beamsley,Skipton,BD23 6HE,Ms Imogen Addy,,01274 679030,Academy,Academy - Converter mainstream,Primary,0,0
The Co-op Academy Parkland,Old Park Road,Bradford,BD10 9BG,Ms Georgina Graham,,01274 777020,Maintained School,Community school,Primary,0,0
The Fountain,109-111 New Cross Street,Bradford,BD5 8BP,Mrs Abeer Niehad,,01274 677549,Academy,Academy sponsor led mainstream,Primary,0,0
The Holy Family Catholic School,Spring Gardens Lane,Keighley,BD20 6LH,Mr M Hings,,01274 573298,Maintained School,Community school,Primary,0,0
The Skipton Academy,Gargrave Road,Skipton,BD23 1UQ,Mr Richard McManus,,01274 573287,Academy,Academy - Converter mainstream,Primary,0,0
Thornbury Primary Leadership Academy,Dick Lane,Bradford,BD3 7AU,Clare Daddy,,01274 579576,Maintained School,Foundation school,Primary,0,0
Thornton in Craven Community Primary School,Cam Lane,Skipton,BD23 3SX,Mrs Katie Smith,,01274 501460,Academy,Academy - Converter mainstream,Primary,0,0
Thornton Primary School,Thornton Road,Bradford,BD13 3NN,Mrs Elizabeth Davison,,01274 573297,Maintained School,Community school,Primary,0,0
Thorpe Primary School,Albion Road,Bradford,BD10 9PY,Mrs Debbie Cooksey,,01274 573297,Academy,Academy - Converter mainstream,Primary,0,0
Threshfield School,Low Road,Skipton,BD23 5NP,Mr R Cook,,01274 573396,Academy,Academy sponsor led mainstream,Primary,0,0
Titus Salt School,Higher Coach Road,Shipley,BD17 5RH,Mr Ian Morrel,,01274 575178,Academy,Academy sponsor led mainstream,Primary,0,0
TLG Bradford,National Support Centre,Bradford,BD5 8HH,Mr Andrew Moughtin,,01274 575353,Maintained School,Foundation school,Primary,0,0
Tong Leadership Academy,Westgate Hill Street,Bradford,BD4 6NR,Mr Daniel Styles,,01274 575353,Academy,Academy - Converter mainstream,Primary,0,0
Training and Skills Centre,Office Suite 2/3,Bradford,BD3 9BE,Miss J Plumtree,,01274 578286,Maintained School,Community school,Primary,0,0
Trinity All Saints CofE VA Primary School,Church Street,Bingley,BD16 2PP,Mrs Jane Glendinning,,01274 488703,Maintained School,Community school,Primary,0,0
University Academy Keighley,Green Head Road,Keighley,BD20 6EB,Mrs Bernie Addison,,01274 483138,Academy,Academy - Converter mainstream,Primary,0,0
Upper Wharfedale School,Wharfeside Avenue,Skipton,BD23 5BS,Mr Andrew Taylor,,01274 490462,Independent School,Other independent school,Primary,0,0
Victoria Primary School,Cartmel Road,Keighley,BD21 2RD,Mrs Jane Dark,,01274 773350,Academy,Academy - Converter mainstream,Primary,0,0
Wellington Primary School,Dudley Hill Road,Bradford,BD2 3DE,Mrs Joy Wood,,01274 774644,Academy,Academy - Converter mainstream,Primary,0,0
Westbourne Primary School,Skinner Lane,Bradford,BD8 7PL,Mr Mathew Atkinson,,01274 731695,Academy,Academy sponsor led mainstream,Primary,0,0
Westminster Church of England Primary Academy,Westminster Road,Bradford,BD3 0HW,Miss Nicola Jane White,,01274 496611,Maintained School,Community school,Primary,0,0
Wharfedale Montessori School,Bolton Abbey,Skipton,BD23 6AN,Mrs J Lord,,01274 543711,Academy,Academy sponsor led mainstream,Primary,0,0
Whetley Academy,Whetley Lane,Bradford,BD8 9HZ,Miss Rebecca Stansfield,,01274 546496,Academy,Academy sponsor led mainstream,Primary,0,0
Whitcliffe Mount School,Turnsteads Avenue,Cleckheaton,BD19 3AQ,Miss Jennifer Templar,,01274 493543,Maintained School,Community school,Primary,0,0
Whitechapel Church of England Primary School,Whitechapel Road,Cleckheaton,BD19 6HR,Mrs Joanne Burden,,01274 545743,Maintained School,Voluntary aided school,Primary,0,0
Wibsey Primary School,North Road,Bradford,BD6 1RL,Mr Nigel Cooper,,01274 543162,Independent School,Other independent school,Primary,0,0
Wilsden Primary School,Tweedy Street,Bradford,BD15 0AE,Mr John Davison,,01274 545019,Maintained School,Voluntary aided school,Primary,0,0
Woodhouse Grove School,Apperley Bridge,Bradford,BD10 0NR,Mr James Lockwood,,01274 543072,Maintained School,Community school,Primary,0,0
Woodlands Church of England Primary Academy,Mill Carr Hill Road,Bradford,BD12 7EZ,Miss Karen Webster,,01274 543357,Academy,Academy - Converter mainstream,Primary,0,0
Woodside Academy,Fenwick Drive,Bradford,BD6 2PG,Mr David Harrison,,01274 543445,Maintained School,Voluntary aided school,Primary,0,0
Worth Valley Primary School,Bracken Bank Crescent,Keighley,BD22 7AX,Miss Ceinwen Lodge,,01274 401060,Maintained School,Community school,Primary,0,0
Worthinghead Primary School,Wyke Lane,Bradford,BD12 9EL,Mrs Lillian Sharp,,01274 495934,Academy,Academy - Converter mainstream,Primary,0,0
Wycliffe CofE Primary School,Saltaire Road,Shipley,BD18 3HZ,Mrs Carol McDermott,,01274 363070,Academy,Academy - Converter mainstream,Primary,0,0
School Name,Street,Town,Post Code,Contact Name,Email,Phone No.,MINORGROUP,NF TYPE,IS PRIMARY,IS SECONDARY,
Crossley Hall Primary School,Thornton Road,Bradford,BD8 0HJ,Mr M Thorp,,01274 532649,Independent School,Other independent school,Primary,Secondary,0
Crystal Gardens Primary School,38 - 40 Greaves Street,Bradford,BD5 7PE,Rashta Bibi,,01274 735913,Independent School,Other independent school,Primary,Secondary,0
Cullingworth Village Primary School,New School Lane,Bradford,BD13 5DA,Mrs Kate Sutcliffe,,01274 488593,Independent School,Other independent school,Primary,Secondary,0
Darul Uloom Dawatul Imaan,Harry Street,Bradford,BD4 9PH,Mr Mohamed Bilal Lorgat,,01274 851152,Maintained School,Voluntary controlled school,0,Secondary,0
Delius Special School,Barkerend Road,Bradford,BD3 8QX,Miss Sally Joy,,01274 871225,Academy,Academy sponsor led mainstream,0,Secondary,0
Denholme Primary School,Minorca Mount,Bradford,BD13 4AY,Mr Malcolm Campbell,,01484 766350,Independent School,Other independent school,0,Secondary,0
Dixons Allerton Academy,Rhodesway,Bradford,BD8 0DH,Gary Dreher,,01756 792965,Academy,Academy sponsor led mainstream,0,Secondary,0
Dixons City Academy,Ripley Street,Bradford,BD5 7RR,Mr Michael Feely,,01756 752215,Maintained School,Community school,0,Secondary,0
Dixons Cottingley Academy,Cottingley New Road,Bingley,BD16 1TZ,Mrs Clare Skelding,,01274 270494,Special School,Other independent special school,0,Secondary,0
Dixons Kings Academy,Northside Road,Bradford,BD7 2AN,Mr Neil Miley,,01274 302400,Academy,Academy sponsor led mainstream,0,Secondary,0
Dixons Manningham Academy,Wood Street,Bradford,BD8 8HY,Mrs Terri Leighton,,07486 580873,Independent School,Other independent school,0,Secondary,0
Dixons Marchbank Primary,Marchbank Road,Bradford,BD3 8QQ,Mrs Helen Haunch,,01274 737862,Independent School,Other independent school,0,Secondary,0
Dixons McMillan Academy,Trinity Road,Bradford,BD5 0JD,Mr Wesley Davies,,01274 449706,Academy,Free school - Mainstream,0,Secondary,0
Dixons Music Primary,Trinity Road,Bradford,BD5 0BE,Michelle Long,,01274 270043,Independent School,Other independent school,0,Secondary,0
Dixons Trinity Academy,Trinity Road,Bradford,BD5 0BE,Jenny Thompson,,01274 732439,Special School,Other independent special school,0,Secondary,0
Drighlington Primary School,Moorland Road,Bradford,BD11 1JY,Mrs Sue Jackson,,01274 395454,Independent School,Other independent school,0,Secondary,0
School Name,Street,Town,Post Code,Contact Name,Email,Phone No.,MINORGROUP,NF TYPE,IS PRIMARY,IS SECONDARY,
Al Mumin Primary and Secondary School,Clifton Street,Bradford,BD8 7DA,Mr M M Azam,,01274 600550,Academy,Academy sponsor led mainstream,Primary,Secondary,Collage
All Saints Church of England Primary School,1 Little Horton Green,Bradford,BD5 0NG,Mr John Davie,,01274 600550,Academy,Academy sponsor led mainstream,Primary,Secondary,Collage
Appleton Academy,Woodside Road,Bradford,BD12 8AL,Ms Helen Jones,,01756 794028,Special School,Community special school,Primary,Secondary,Collage
Atlas Community Primary School,Lincoln Close,Bradford,BD8 8DL,Mrs Lisa Simpson,,01729 893000,Independent School,Other independent school,Primary,Secondary,Collage
Baildon CofE Primary School,Coverdale Way,Shipley,BD17 6TE,Mrs Mary Connor,,01274 256789,Academy,Academy sponsor led mainstream,Primary,Secondary,Collage
Bankfoot Primary School,Bolingbroke Street,Bradford,BD5 9NR,Mrs Juliet Wright,,01539 566081,Special School,Other independent special school,Primary,Secondary,Collage
Barkerend Primary Leadership Academy,Hendford Drive,Bradford,BD3 0QT,Ms Lucinda Fewlass,,01274 542492,Independent School,Other independent school,Primary,Secondary,Collage
BBG Academy,Bradford Road,Birkenshaw,BD19 4BE,Mr Andrew Goulty,,01274 545395,Academy,Free school - Mainstream,Primary,Secondary,Collage
Beckfoot Allerton Primary School and Nursery,Garforth Street,Bradford,BD15 7HB,Mrs Kate Horton,,01274 425900,Academy,Academy - Converter mainstream,0,Secondary,Collage
Beckfoot Heaton Primary,Haworth Road,Bradford,BD9 6LL,Mrs Zoe Mawson,,01274 882214,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Beckfoot Nessfield,Nessfield Drive,Keighley,BD22 6NP,Ms Linda Hanson,,01274 881082,Maintained School,Foundation school,0,Secondary,Collage
Beckfoot Oakbank,Oakworth Road,Keighley,BD22 7DU,Miss Tina Smith,,01274 881082,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Beckfoot Phoenix,Braithwaite Avenue,Keighley,BD22 6HZ,Mrs Rachel Stirland,,01535 272752,Maintained School,Foundation school,0,Secondary,Collage
Beckfoot Priestthorpe Primary School & Nursery,Mornington Road,Bingley,BD16 4JS,Mrs Christina Gunning,,01274 882007,Independent School,Other independent school,0,Secondary,Collage
Beckfoot School,Wagon Lane,Bingley,BD16 1EE,Ms Gill Halls,,01274 771444,Academy,Academy - Converter mainstream,0,Secondary,Collage
Beckfoot Thornton,Leaventhorpe Lane,Bradford,BD13 3BH,Mr Jeremy Richardson,,01274 777107,Special School,Academy - Converter special school,0,Secondary,Collage
Beckfoot Upper Heaton,Thorn Lane,Bradford,BD9 6AL,Mr Simon Wade,,01274 567281,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Beechcliffe Special School,Green Head Road,Keighley,BD20 6ED,Mrs Sue Haithwaite,,,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Belle Vue Girls' Academy,Thorn Lane,Bradford,BD9 6NA,Mr Stephen Mulligan,,01274 807700,Maintained School,Voluntary aided school,0,Secondary,Collage
Bingley Grammar School,Keighley Road,Bingley,BD16 2RS,Mr Luke Weston,,01274 258969,Maintained School,Community school,0,Secondary,Collage
Birkenshaw Church of England Voluntary Controlled Primary School,Station Lane,Bradford,BD11 2JE,Mrs Rebecca Martin,,01274 776200,Maintained School,Foundation school,0,Secondary,Collage
Blakehill Primary School,Highfield Road,Bradford,BD10 8QN,Mr Trevor Stanley Patterson,,01535 210333,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Bowling Park Primary School,New Cross Street,Bradford,BD5 8BT,Mr Stuart Herrington,,01535 603041,Special School,Community special school,0,Secondary,Collage
Brackenhill Primary School,Dracup Road,Bradford,BD7 4HA,Ms Helen Metcalf,,01535 210212,Maintained School,Voluntary aided school,0,Secondary,Collage
Bradford Academy,Teasdale Street,Bradford,BD4 7QJ,Mrs Tehmina Hashmi,,01535 632861,Academy,Academy - Converter mainstream,0,Secondary,Collage
Bradford Christian School,Livingstone Road,Bradford,BD2 1BT,Mr P Moon,,01535 210111,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Bradford College,Great Horton Road,Bradford,BD7 1AY,Mr Chris Jones,,01756 792186,Maintained School,Voluntary aided school,0,Secondary,Collage
Bradford Forster Academy,Fenby Avenue,Bradford,BD4 8RG,Mrs Wendy Adeniji,,01756 707600,Academy,Academy - Converter mainstream,0,Secondary,Collage
Bradford Girls' Grammar School,Squire Lane,Bradford,BD9 6RB,Kathryn Matthews,,01729 822451,Maintained School,Community school,0,Secondary,Collage
Bradford Grammar School,Keighley Road,Bradford,BD9 4JP,Dr Simon Hinchliffe,,01274 725005,Independent School,Other independent school,0,Secondary,Collage
Bradleys Both Community Primary School,Skipton Road,Keighley,BD20 9EF,Mr Barry Rogers,,01274 725005,Independent School,Other independent school,0,Secondary,Collage
Broadbeck Learning Centre,Brearcliffe Drive,Bradford,BD6 2LE,Mrs Sarah Walsh,,01274 633111,Maintained School,Community school,0,Secondary,Collage
Brooklands School,Burnside Avenue,Skipton,BD23 2DB,Mrs Fran Cracknell,,01274 559500,Academy,Academy - Converter mainstream,0,Secondary,Collage
Burnsall Voluntary Aided Primary School,Burnsall,Skipton,BD23 6BP,Mrs Julie Morton Lee,,01274 401140,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Buttershaw Business & Enterprise College Academy,Reevy Road West,Bradford,BD6 3PX,Mrs Jane Tiller,,01274 681455,Maintained School,Foundation school,0,Secondary,Collage
Byron Primary School,Barkerend Road,Bradford,BD3 0AB,Mr Richard O'Sullivan,,01274 681455,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Carleton Endowed CofE Primary School,Carleton,Skipton,BD23 3DE,Mr Duggie Speight,,01274 307456,Special School,Community special school,0,Secondary,Collage
Carlton Bolling College,Undercliffe Lane,Bradford,BD3 0DU,Mr Adrian Kneeshaw,,01274 402233,Independent School,Other independent school,0,Secondary,Collage
Carrwood Primary School,Eversley Drive,Bradford,BD4 0EQ,Mrs Nicola Kilvington,,01274 424350,Academy,Free school - Mainstream,0,Secondary,Collage
Cavendish Primary School,Hall Road,Bradford,BD2 2DU,Mrs Noreen Dunn,,01274 424350,Academy,Free school - Mainstream,0,Secondary,Collage
Chellow Heights Special School,Thorn Lane,Bradford,BD9 6AL,Mrs Sue Haithwaite,,01274 776777,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Christ Church Church of England Academy,Wrose Brow Road,Shipley,BD18 2NT,Mrs Philippa Foster,,01274 501597,Independent School,Other independent school,0,Secondary,Collage
Christ Church Church of England Voluntary Controlled Primary School,Craven Street,Skipton,BD23 2AP,Mrs Diane Cooper,,01274 779662,Academy,Academy - Converter mainstream,0,Secondary,Collage
Clayton St John CofE Primary School,Bradford Road,Bradford,BD14 6DD,Miss Michelle Hargreaves,,01274 676285,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Clayton Village Primary School,John Street,Bradford,BD14 6AD,Miss Rebecca Cradock,,01274 577866,Special School,Other independent special school,0,Secondary,Collage
Cononley Community Primary School,Meadow Lane,Keighley,BD20 8NA,Mrs Johanna Jobson,,01274 362050,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Co-op Academy Beckfield,Tyersal Walk,Bradford,BD4 8ER,Mrs Johanna Jobson,,01274 941941,Maintained School,Voluntary aided school,0,Secondary,Collage
Copthorne Primary School,All Saints' Road,Bradford,BD7 3AY,Mrs Frances Whalley,,01274 483075,Special School,Other independent special school,0,Secondary,Collage
Cottingley Village Primary School,Cottingley Moor Road,Bingley,BD16 1SY,Mrs Nichola Geale,,01274 493533,Academy,Academy sponsor led mainstream,0,Secondary,Collage
Cowling Community Primary School,Gill Lane,Keighley,BD22 0DF,Mrs Susan Marshall,,01274 492341,Academy,Academy - Converter mainstream,0,Secondary,Collage
Cracoe and Rylstone Voluntary Controlled Church of England Primary School,Cracoe,Skipton,BD23 6LQ,Mrs Christine Boxall and Mr Chris Norris,,01274 327222,College,General further education college,0,0,Collage
Craven College,Gargrave Road,Skipton,BD23 1US,Mr Robert Bellfield,,01756 791411,College,General further education college,0,0,Collage
Crossflatts Primary School,Morton Lane,Bingley,BD16 2EP,Mrs Nicola Bennett,,01274 433333,College,General further education college,0,0,Collage
